name;count
Industrial Drive;748
Sherman Street;747
Timber Lane;746
Linda Lane;745
Lake Shore Drive;745
North Elm Street;745
22nd Street;744
Holly Street;742
Myrtle Street;742
South 11th Street;741
Grandview Drive;735
Roosevelt Avenue;735
Mountain View Drive;734
Lake Avenue;734
Ridgewood Drive;731
Crestwood Drive;728
Hilltop Road;728
Virginia Street;728
South Elm Street;728
Hummingbird Lane;726
Thompson Road;724
Pecan Street;723
Forest Street;722
Melody Lane;722
North 12th Street;722
Cardinal Drive;713
Moore Street;712
Walker Road;712
Linden Avenue;711
Garfield Avenue;710
Avenue B;708
Briarwood Drive;707
Webster Street;706
Primrose Lane;706
South 12th Street;705
New Street;705
Michigan Avenue;704
West Washington Street;703
West Walnut Street;701
Woodland Road;700
Laurel Drive;695
Cottonwood Drive;695
South Washington Street;695
Thomas Road;694
Old Mill Road;694
Allen Road;693
Ohio Street;692
11th Avenue;691
Sandy Lane;689
Holly Drive;688
160th Street;688
West Elm Street;687
Hall Street;687
Walker Street;686
West 12th Street;686
Russell Street;685
Marion Street;685
Aspen Drive;679
Magnolia Avenue;678
East Avenue;677
White Oak Drive;677
White Street;676
Evergreen Lane;675
Hillcrest Road;675
Peach Street;675
Hillcrest Avenue;674
North Oak Street;673
East Washington Street;672
South Oak Street;672
Jackson Road;671
Perry Street;671
G Street;670
Roosevelt Street;670
24th Street;669
Laurel Avenue;668
Birch Lane;665
Avenue A;664
Rosewood Drive;663
East Elm Street;662
Woodside Drive;660
North Road;656
Pine Road;653
Windsor Drive;651
College Avenue;650
Creek Road;650
Marshall Street;648
East 12th Street;648
Oak Road;647
Avenue C;647
Parkway Drive;646
East 13th Street;646
East Walnut Street;646
Highland Street;644
Hemlock Street;644
West 13th Street;639
Maplewood Drive;638
Cardinal Lane;638
Spruce Drive;637
Robin Road;637
West Avenue;637
Roberts Road;635
Sunset Road;633
Adams Road;633
Monroe Avenue;633
County Road;633
180th Street;633
Arrowhead Drive;632
Lilac Lane;631
Walnut Drive;631
North Washington Street;631
Lawrence Street;629
Ivy Lane;627
Honeysuckle Lane;627
Lafayette Street;627
Thompson Street;626
12th Avenue;626
Elm Drive;625
Brentwood Drive;624
Hemlock Drive;624
25th Street;623
Morgan Street;623
23rd Street;623
Mountain Road;619
Pinewood Drive;619
Fairview Drive;617
Western Avenue;617
Birch Drive;615
East 14th Street;615
Quarry Road;615
Orchard Road;614
Moore Road;614
North 13th Street;614
North Pine Street;611
Harris Street;610
Manor Drive;609
Vista Drive;609
Taylor Avenue;608
Cross Road;608
Bay Street;607
170th Street;607
Ridgeview Drive;606
Fulton Street;604
Hall Road;604
King Road;604
Anderson Street;603
Adams Avenue;603
Baker Road;601
Farm Road;600
Woodlawn Avenue;598
110th Street;598
150th Street;598
Cedar Road;595
Redwood Drive;595
230th Street;595
120th Street;593
Spruce Lane;591
West 14th Street;591
Ponderosa Drive;589
Sawmill Road;588
Meadowlark Lane;588
Sycamore Lane;588
North 14th Street;587
Parker Road;586
Lexington Avenue;586
Hudson Street;584
250th Street;584
Shore Drive;583
Glenwood Drive;583
South Pine Street;582
Scott Road;582
Valley View Road;581
Columbia Avenue;581
Willow Road;580
West Drive;580
Summer Street;579
Pierce Street;579
Garden Street;579
Beechwood Drive;578
Euclid Avenue;577
Clover Lane;577
Myrtle Avenue;577
May Street;577
East North Street;576
Central Street;576
Lee Avenue;576
Valley Street;575
Robinson Road;574
Wedgewood Drive;574
200th Street;574
Cambridge Drive;573
Delaware Avenue;573
West Road;570
Grandview Avenue;568
Ranch Road;567
West North Street;567
Parker Street;565
Cherokee Drive;562
Willow Avenue;561
North Maple Street;560
Florence Street;560
Grace Street;556
220th Street;556
Parkside Drive;555
Mitchell Road;555
Center Avenue;555
Bell Street;554
South 13th Street;554
School Road;553
Cedar Court;553
Brook Street;553
Logan Street;552
Ohio Avenue;551
190th Street;551
Bluebird Lane;550
Nelson Street;549
Cypress Drive;549
Greenwood Drive;549
Commerce Street;545
210th Street;545
Lee Road;544
Maryland Avenue;544
White Road;542
South Maple Street;542
26th Street;541
Maple Road;540
30th Street;540
Polk Street;538
Rainbow Drive;537
East 16th Street;536
140th Street;536
Columbia Street;535
Carriage Lane;535
Harris Road;535
Orchard Avenue;535
Loop Road;534
Meadowbrook Drive;534
Ridge Drive;534
Oakland Avenue;534
Reed Street;533
Mulberry Lane;533
Broadway;533
South 14th Street;533
Chestnut Avenue;532
Deer Run Road;532
Grove Avenue;530
Birchwood Drive;529
North 16th Street;529
North Drive;529
Lewis Road;528
Fairview Road;527
Middle Street;526
Oak Ridge Drive;526
East Oak Street;526
130th Street;526
Union Avenue;525
Plantation Drive;524
Ridge Avenue;522
Lakeview Road;521
Avenue D;521
Walnut Lane;520
East 15th Street;520
Edgewater Drive;519
Miller Avenue;518
Hazel Street;517
Carter Street;517
Locust Lane;517
Smith Lane;515
West Pine Street;514
Deerfield Drive;514
North 15th Street;513
Turner Road;513
Azalea Drive;513
Indiana Avenue;512
Highland Road;512
240th Street;512
Campbell Road;511
East South Street;511
Ridge Street;511
Autumn Lane;509
Maple Court;509
South 15th Street;509
Austin Street;508
West Oak Street;508
West South Street;508
River Drive;507
13th Avenue;507
Magnolia Lane;507
Rogers Road;506
East 17th Street;506
Morris Street;506
Meadow Road;506
Memorial Drive;506
Mallard Drive;505
Wildwood Lane;505
Evergreen Road;505
Nelson Road;505
Rose Avenue;504
Alpine Drive;504
Hillside Road;504
Pinehurst Drive;504
Birch Avenue;503
15th Avenue;503
Beach Road;502
Westview Drive;502
Locust Avenue;502
Francis Street;502
Mason Street;502
Lincoln Drive;501
Beverly Drive;500
Fairview Street;500
Juniper Drive;500
Johnson Avenue;499
Campbell Street;499
Poplar Drive;499
Mitchell Street;498
Chestnut Drive;497
Red Oak Drive;497
260th Street;497
East Pine Street;496
14th Avenue;496
Thomas Drive;496
York Street;495
Georgia Avenue;495
Montgomery Street;495
Florida Avenue;494
Aspen Lane;493
Juniper Street;492
Fir Street;492
Atlantic Avenue;492
West 15th Street;492
South Avenue;492
Van Buren Street;492
North Shore Drive;492
Greenwood Avenue;491
Hemlock Lane;490
South Church Street;490
Stewart Street;490
West 16th Street;490
Douglas Drive;490
East Drive;490
H Street;489
Russell Road;489
Longview Drive;489
Oak Court;488
28th Street;488
Birch Road;487
Phillips Road;487
Hawthorne Drive;486
Mountain View Road;486
Green Road;485
Lynn Street;485
Knollwood Drive;485
Arthur Street;485
29th Street;483
Hickory Road;483
Blueberry Lane;482
Morgan Road;482
North Church Street;480
270th Street;480
Bank Street;479
Reservoir Road;479
West Maple Street;479
North 17th Street;479
Clearview Drive;479
Poplar Avenue;478
Edwards Street;478
280th Street;478
Evans Road;477
Evans Street;475
Clubhouse Drive;475
Carter Road;473
Wright Street;473
27th Street;472
Bailey Road;472
Hamilton Avenue;472
Lakeview Avenue;472
Elmwood Drive;471
Strawberry Lane;469
300th Street;469
Dewey Street;468
Cook Road;468
South 16th Street;468
Chestnut Lane;467
Parish Road;467
Juniper Lane;465
Johnson Lane;465
Academy Street;465
Tyler Street;465
Deer Run;464
Belmont Avenue;464
Howard Avenue;460
Hayes Street;459
Lincoln Road;459
Lois Lane;458
Dogwood Street;458
Brookwood Drive;458
Surrey Lane;457
Cottage Street;457
Ridgecrest Drive;456
Palm Street;456
East Church Street;456
Ward Street;456
Oak Hill Drive;455
Palm Drive;455
Houston Street;455
Blackberry Lane;454
Pinecrest Drive;454
Rocky Road;454
West Church Street;453
Village Lane;452
South Jefferson Street;452
Spring Road;452
Elmwood Avenue;451
Woods Road;449
East Maple Street;449
Cooper Street;449
Mill Creek Road;449
Middle Road;449
Northwood Drive;448
Erie Street;447
West 17th Street;446
Dogwood Court;446
16th Avenue;446
North 19th Street;446
Skyview Drive;445
Sherman Avenue;445
Evergreen Avenue;445
California Avenue;444
West Jefferson Street;444
Heritage Lane;444
Hillview Drive;444
Kelly Road;444
Parkwood Drive;443
Hamilton Road;443
Daisy Lane;443
Cook Street;443
Cypress Avenue;442
Hampton Court;442
South Drive;441
Willow Court;441
Apple Street;441
Canterbury Drive;440
Driftwood Drive;440
Winding Way;440
310th Street;440
Cypress Lane;439
McKinley Street;438
20th Avenue;438
Watson Road;438
Quail Run;437
Long Street;437
Eastwood Drive;436
Newton Street;436
Wayne Street;435
Wright Road;435
Short Road;435
Laura Lane;435
Bryant Street;435
Pine Ridge Road;435
Ford Street;435
Old Farm Road;434
Indian Trail;434
Camp Road;434
Florence Avenue;433
South 17th Street;433
Spruce Avenue;433
Young Street;433
Timberline Drive;433
Oak Hill Road;433
Lovers Lane;433
Gordon Street;433
Race Street;433
Golf Course Road;432
Reed Road;432
J Street;432
Evergreen Street;432
Bond Street;432
Woodcrest Drive;431
Liberty Lane;430
Briarwood Lane;430
North 18th Street;430
Lisa Lane;430
Garden Lane;430
Scott Drive;430
Aspen Court;429
Martin Drive;429
Warren Avenue;429
Homestead Drive;428
Iowa Street;428
Ross Street;428
Catherine Street;428
Sunrise Lane;428
Hawthorne Avenue;427
Field Road;427
Brown Avenue;427
Wildwood Road;426
Kennedy Drive;426
Butler Street;426
18th Avenue;426
Victoria Drive;425
17th Avenue;425
Williams Avenue;424
Bennett Road;424
Phillips Street;424
290th Street;424
Wilson Drive;423
McKinley Avenue;422
Kentucky Avenue;422
Glenwood Avenue;421
Pacific Avenue;421
Stewart Road;421
Commerce Drive;420
Augusta Drive;420
Meadow Street;419
Hancock Street;419
Robinson Street;419
Cooper Road;419
Ridgeway Drive;418
Smith Avenue;418
Oakwood Avenue;417
Sunset Court;417
West 18th Street;417
Edgewood Road;417
Penn Street;417
North Jefferson Street;417
University Drive;416
Mechanic Street;416
Harvest Lane;415
Arch Street;415
Palm Avenue;414
Bell Road;414
Ross Road;414
I Street;414
Oakridge Drive;413
Access Road;413
Winter Street;412
Roberts Street;412
South Road;412
Douglas Avenue;411
Hawthorne Street;411
Pleasant Avenue;411
Quail Drive;411
Clark Avenue;411
Horseshoe Drive;411
Cottonwood Lane;410
Michael Drive;410
Lafayette Avenue;410
Jay Street;410
Broadway Avenue;410
Pond Road;409
Foster Road;409
Fox Road;409
Shoreline Drive;409
Wood Road;409
Randolph Street;408
Fern Street;407
Paradise Lane;407
Miller Lane;407
32nd Street;407
Windsor Court;407
Davis Drive;407
Homestead Road;406
K Street;406
Country Club Lane;405
Miller Drive;405
Pine Court;405
Turner Street;405
Concord Drive;405
Hill Drive;405
Illinois Street;405
David Drive;404
Cherry Avenue;404
Davis Avenue;404
North West Street;403
East 18th Street;402
Center Road;402
Dogwood Road;402
Woodlawn Drive;401
East 19th Street;401
Falcon Drive;401
Grand Street;401
South Shore Drive;401
Spring Drive;401
Edgewood Avenue;400
33rd Street;400
Riverview Road;400
Hilltop Lane;399
Collins Road;399
Hickory Court;399
Nottingham Drive;398
Eagle Street;398
Williams Drive;398
North Cedar Street;397
Beach Street;397
Harbor Drive;397
Rolling Hills Drive;397
Acorn Drive;397
Martin Lane;397
Pleasant Drive;396
South West Street;396
Campground Road;396
Frederick Street;395
Ash Avenue;395
South 18th Street;394
Foster Street;394
Crest Drive;394
Richardson Road;394
Marion Avenue;394
North 21st Street;394
Helen Street;393
Elm Court;393
Avenue F;393
Meadowview Drive;393
Shadow Lane;393
Stone Road;393
Lexington Drive;392
Ivy Street;392
Delaware Street;392
White Oak Lane;392
Oak Grove Road;391
Harding Avenue;391
Crawford Street;391
Ellis Street;390
Woodland Court;390
North Jackson Street;390
Cambridge Court;389
Center Drive;389
Lynn Drive;389
Plaza Drive;389
Lee Drive;389
Lakeview Court;388
Emerald Drive;387
Huntington Drive;387
Independence Drive;387
Arlington Avenue;387
Davis Lane;386
Sunset Street;386
Elizabeth Avenue;386
North 20th Street;386
Taylor Lane;386
Porter Street;386
Johnson Drive;385
Meadow Court;385
Countryside Drive;385
Apple Lane;385
James Road;385
Holiday Drive;385
Fox Lane;384
Meadowlark Drive;384
Collins Street;384
Oak Ridge Road;384
Acorn Lane;384
Mallard Lane;383
Fernwood Drive;383
Commercial Street;383
Spring Lane;383
Harvard Street;383
Cottonwood Street;382
Eagle Lane;382
35th Street;382
Kimberly Drive;382
Texas Avenue;381
Franklin Road;381
2nd Street Northeast;381
Taylor Drive;381
Cottage Lane;381
Robin Drive;381
Allen Drive;381
Oxford Street;379
Crescent Street;379
Somerset Drive;379
Wellington Drive;378
Kings Court;378
Fisher Road;378
Holly Avenue;378
Oliver Street;378
Lewis Lane;378
Pheasant Lane;377
40th Street;377
Thomas Lane;377
South Park Street;377
Fieldstone Drive;377
Marina Drive;377
Partridge Lane;377
Club Drive;377
Southwest 3rd Street;376
Hampton Road;376
West Jackson Street;376
Dale Street;375
South East Street;375
North 22nd Street;375
Ashley Drive;374
Indiana Street;373
Hunter Road;373
Apache Drive;373
Kent Street;373
Deer Trail;373
Oxford Drive;373
Vernon Street;373
Bayview Drive;372
East 20th Street;372
East Road;372
California Street;371
Marshall Road;371
Pine Ridge Drive;370
Sheridan Street;370
Buchanan Street;370
Kelly Drive;370
Palmer Street;369
Pioneer Road;369
31st Street;369
Wallace Street;368
Southwest 2nd Street;368
Pine Hill Road;368
Carroll Street;368
Kennedy Street;368
Margaret Street;368
Woodridge Drive;367
Greenbriar Drive;367
Church Lane;366
Illinois Avenue;365
Cove Road;365
Canyon Drive;365
Pin Oak Drive;365
Village Road;365
Stone Street;365
Sycamore Road;365
320th Street;365
Hidden Valley Road;364
34th Street;364
East Jackson Street;364
South Jackson Street;364
Autumn Drive;364
Sharon Drive;363
Spencer Street;363
Holly Court;363
Dove Lane;362
Leisure Lane;362
Garden Drive;362
Morris Road;362
Mohawk Drive;362
Cemetery Street;362
New York Avenue;361
Smith Drive;361
Harding Street;361
West Railroad Street;361
Pineview Drive;360
Rosewood Lane;360
Linden Lane;360
Poplar Lane;360
Holly Road;360
James Drive;359
Sleepy Hollow Road;359
2nd Street Southeast;359
Concord Street;359
Camelot Drive;359
Sycamore Avenue;358
West Center Street;358
Meadowbrook Lane;358
Harmony Lane;358
Ironwood Drive;358
Edwards Road;358
Queen Street;358
Brooks Road;357
Cypress Court;357
Elm Road;357
Winchester Drive;357
Leonard Street;356
2nd Street Northwest;356
Northwest 4th Street;356
East 21st Street;356
Hill Avenue;356
19th Avenue;356
Avenue G;356
Hickory Avenue;356
Paul Street;356
Bennett Street;356
Hillcrest Street;355
Fawn Drive;355
East Jefferson Street;355
Hemlock Road;355
Park Circle;354
Ford Road;354
Boyd Street;354
Island Drive;353
Prairie Street;353
3rd Street Northeast;353
North Railroad Street;353
Silver Street;353
Fawn Lane;352
Quail Court;352
Northwest 3rd Street;352
Orange Avenue;352
Curtis Street;352
Oakwood Lane;352
Clinton Avenue;352
Campus Drive;351
Donna Drive;351
East 2nd Avenue;351
Alexander Street;351
Aspen Street;350
Shannon Drive;350
Kelly Lane;350
Sunset Boulevard;349
Evergreen Court;349
South 19th Street;349
North East Street;349
Bayberry Lane;349
Alice Street;348
North Park Street;348
Pine Tree Lane;348
Columbus Avenue;348
Deer Lane;348
2nd Street Southwest;347
South 20th Street;347
West Chestnut Street;347
West 19th Street;347
Lake View Drive;347
Thomas Avenue;347
Benton Street;347
Buckingham Drive;346
Alder Street;346
Wilson Lane;346
Fairfield Drive;346
Cardinal Court;346
Reynolds Road;346
Gray Street;346
Twin Oaks Drive;346
Live Oak Drive;346
Heather Drive;345
South Cedar Street;345
Pond Street;345
Gilbert Street;345
Emerson Street;345
Ward Road;344
Mary Lane;344
Robert Street;343
Northwest 2nd Street;343
Elizabeth Drive;343
South 21st Street;342
Porter Road;342
Kennedy Road;342
Howard Road;342
South Chestnut Street;342
West 2nd Avenue;342
Patterson Road;341
Rogers Street;340
Pleasant Valley Road;340
Henderson Road;340
East 24th Street;340
West Madison Street;340
Red Oak Lane;340
Canterbury Court;340
Frank Street;340
Overlook Road;340
Fremont Street;339
Chester Street;339
Virginia Drive;339
Quail Lane;338
Sunny Lane;338
Arbor Lane;338
East 1st Avenue;338
Hamilton Drive;337
Carriage Drive;337
West Park Street;337
Perry Road;337
Martin Avenue;337
East High Street;337
Gateway Drive;336
Taft Street;336
Jennifer Lane;336
Locust Drive;336
Wells Street;336
Walnut Road;336
Tucker Road;336
North Center Street;336
2nd Avenue Southwest;336
2nd Avenue South;336
East Center Street;335
Wheeler Road;335
Canterbury Lane;335
Melrose Avenue;335
Church Avenue;335
Butler Road;335
Young Road;335
South Center Street;335
Northview Drive;335
330th Street;335
Woodhaven Drive;334
Pecan Drive;334
East Railroad Street;334
Amber Lane;334
M Street;334
Prince Street;334
Spring Creek Road;334
Hillside Lane;334
College Drive;334
Edward Street;334
Liberty Avenue;334
Highland Court;334
Albert Street;333
Wells Road;333
West 21st Street;333
Greenwood Road;333
Buena Vista Drive;332
Hudson Avenue;332
Jackson Drive;332
Terrace Avenue;331
42nd Street;331
Pleasant Hill Road;331
Laurel Road;331
Douglas Road;330
Warren Road;330
Graham Street;330
Northridge Drive;330
Bell Avenue;330
Rice Road;330
Ellis Road;330
Summit Road;329
Kelly Street;329
Fairway Lane;329
Harrison Road;329
Scott Avenue;329
Cherokee Street;329
North Front Street;328
Bear Creek Road;328
James Avenue;328
Franklin Drive;328
Lakeview Lane;327
Walker Avenue;327
West High Street;327
L Street;327
North Franklin Street;327
Crescent Avenue;327
Seminole Drive;327
Ruth Street;327
White Oak Road;327
Greenwood Street;326
Watson Street;326
Avenue H;326
Oakmont Drive;326
Berry Street;326
North Adams Street;326
Mimosa Drive;326
East 3rd Avenue;326
Eastern Avenue;326
100th Street;326
East Park Street;325
Patterson Street;325
Stonegate Drive;325
Bailey Street;325
Morgan Drive;325
Karen Drive;325
Hunter Street;325
North 23rd Street;325
Fillmore Street;325
Princeton Avenue;325
South Cherry Street;324
Colorado Avenue;324
Wallace Road;324
Allen Avenue;324
West 5th Avenue;323
South Lincoln Street;323
Magnolia Court;323
Everett Street;323
2nd Avenue Northwest;323
Main Avenue;322
Greenway Drive;322
South Front Street;322
Joseph Street;322
37th Street;322
Colony Drive;322
Hope Street;321
Weaver Road;321
Pierce Road;321
25th Avenue;321
Laurel Court;321
Oil Field Road;321
Northwest 5th Street;320
Grant Road;320
Arlington Drive;320
Arbor Drive;320
Ray Street;320
West 20th Street;320
Bradley Street;320
West 4th Avenue;320
Beacon Street;320
Kansas Avenue;320
Pioneer Drive;319
Chase Street;319
Southwest 5th Street;319
